Code,Item ,Group,Bags/Units Per Case,Price per case ($),Price per Unit ($),,Stores,,Date,Week,Month,Period,,Week,Days,,Store,Location
GG-8299,52642 - Maple pecan danish,Food Related,40,$64.25,$1.61,,,,2/2/2026,Week 05,02 Feb,Q1,,Week 33,Aug 12 - Aug 18,,,
27213,Strawberry Cheesecake Danish,TCW,84,$113.00,$1.35,,,,2/3/2026,Week 05,02 Feb,Q1,,Week 34,Aug 19 - Aug 25,,,
73288,Focaccia- Rosemary,Pointe Dairy,60,$63.33,$1.06,,,,2/4/2026,Week 05,02 Feb,Q1,,Week 35,Aug 26 - Sep 01,,,
GG-8301-NEW,Strawberry Cheesecake Danish,Food Related,84,$116.93,$1.39,,,,2/5/2026,Week 06,02 Feb,Q1,,Week 36,Sep 02 - Sep 08,,,
RTB ALMOND CROISSANT (60 per cs),ALMOND CROISSANT ,French Bakery,60,$80.40,$1.34,,,,2/6/2026,Week 06,02 Feb,Q1,,Week 37,Sep 09 - Sep 15,,,
GG-7963-NEW,Focaccia- Rosemary,Food Related,60,$75.60,$1.26,,,,2/7/2026,Week 06,02 Feb,Q1,,Week 38,Sep 16 - Sep 22,,,
GG-8361,LARGE CINNAMON BUN,Food Related,30,$58.70,$1.96,,,,2/8/2026,Week 06,02 Feb,Q1,,Week 39,Sep 23 - Sep 29,,,
GG-8303-NEW,Spinach & Feta Butter Bistro,Food Related,36,$77.22,$2.15,,,,2/9/2026,Week 06,02 Feb,Q1,,Week 40,Sep 30 - Oct 06,,,
5604BR31780,LARGE CROISSANT,TCW,60,$66.59,$1.11,,,,2/10/2026,Week 06,02 Feb,Q1,,Week 41,Oct 07 - Oct 13,,,
QG75342,52654 Focaccia 4.8oz,TCW,10,$57.84,$5.78,,,,2/11/2026,Week 06,02 Feb,Q1,,Week 42,Oct 14 - Oct 20,,,
GG-8298 - 04/06,Caramel Almond Delicacy Danish,Food Related,36,$61.12,$1.70,,,,2/12/2026,Week 07,02 Feb,Q1,,Week 43,Oct 21 - Oct 27,,,
RTB CHEESECAKE STRAWBERRY DANISH (84/cs),Strawberry Cheesecake Danish,French Bakery,84,$101.64,$1.21,,,,2/13/2026,Week 07,02 Feb,Q1,,Week 44,Oct 28 - Nov 03,,,
50832,DANISH BLUE CHEESECK 84/3.4z BRIDOR,Greco & Sons. INC.,84,$101.99,$1.21,,,,2/14/2026,Week 07,02 Feb,Q1,,Week 45,Nov 04 - Nov 10,,,
50838,BISTRO PARMESAN LEEK 36CT,Greco & Sons. INC.,36,$68.99,$1.92,,,,2/15/2026,Week 07,02 Feb,Q1,,Week 46,Nov 11 - Nov 17,,,
51445,CREAM CHEESE DANISH,Greco & Sons. INC.,60,$85.99,$1.43,,,,2/16/2026,Week 07,02 Feb,Q1,,Week 47,Nov 18 - Nov 24,,,
51448,DANISH LEMON 84/3L5OZ,Greco & Sons. INC.,84,$90.99,$1.08,,,,2/17/2026,Week 07,02 Feb,Q1,,Week 48,Nov 25 - Dec 01,,,
51452,DANISH GREEK YOUGURT CHERRY RTB 60C,Greco & Sons. INC.,60,$79.99,,,,,2/18/2026,Week 07,02 Feb,Q1,,Week 49,Dec 02 - Dec0 8,,,
,,,,,,,,,2/19/2026,Week 08,02 Feb,Q1,,Week 50,Dec 09 - Dec 15,,,
,,,,,,,,,2/20/2026,Week 08,02 Feb,Q1,,Week 51,Dec 16 - Dec 22,,,
,,,,,#DIV/0!,,,,2/21/2026,Week 08,02 Feb,Q1,,Week 52,Dec 23 - Dec 29,,,
