Items,Description ,Price ,Price Mark Up,Units,Price per Unit,Kg,Pounds,For Sale ,Price
5044,Case 6 Packs Premium Chai Tea,$50.40,,6,$8.40,1,2.2,YES,$18.90
6019,Case 4 Boxes 40c KCUP Gran Selezione,$72.00,,160,$0.45,4.06,8.932,YES,$1.01
6020,Case 4 Boxes 40c KCUP Gran Aroma,$72.00,,160,$0.45,4.06,8.932,YES,$1.01
7082,Case 6 Box 10 NCC Alu Espr.Classico,$33.41,,6,$5.57,0.75,1.65,YES,$12.53
7086,Case 6 Boxes 10 NCC ALU Espr. Intenso,$33.41,,60,$0.56,0.75,1.65,YES,$1.25
7088,Case 6 Boxes 10 NCC AL. Espre Lungo,$33.41,,60,$0.56,0.74,1.628,YES,$1.25
7090,Case 6 Boxes 10 NCC ,$33.41,,60,$0.56,0.77,1.694,YES,$1.25
7509,Case 6 Soft GR. Aroma ,$43.13,#ERROR!,6,$7.19,0.34,0.748,YES,$16.17
7510,Case 6 Soft Packs Classico ,$41.13,#ERROR!,6,$6.86,0.34,0.748,YES,$15.42
7511,Case 6 Soft Packs Perfetto,$43.13,#ERROR!,6,$7.19,0.34,0.748,YES,$16.17
7512,Case 6 Soft Packs GR. Selezione,$43.13,#ERROR!,6,$7.19,0.34,0.748,YES,$16.17
7513,Expo MIX 24 PC SOFT Pack,$172.51,#ERROR!,24,$7.19,17.99,39.578,YES,$16.17
7592,Case 18 Pillow P Gold Sel Filter 2.5 Oz,$23.28,,18,$1.29,0.07,0.154,YES,$2.91
7593,Case 18 Pillow Dek Filter 2.5 Oz,$24.85,,18,$1.38,0.07,0.154,YES,$3.11
7596,Pillow Gr Riserva Filt ,$23.28,,18,$1.29,0.07,0.154,NO,
8026,Cold Brew Bag 1 Gal 7:1,$155.00,#ERROR!,1,$155.00,8.69,19.118,NO,
10076879,Biocaf Espresso Cleaning Powder 500ml,$131.88,,12,$10.99,13.23,29.106,NO,
10076880,Biocaf Milk Frother Cleaning Liquid 1L,$155.88,#ERROR!,12,$12.99,28.86,63.492,NO,
10076881,Biocaf Grinder Claening Tablets 234G,$155.88,#ERROR!,12,$12.99,6.43,14.146,NO,
10076882,Urnex Coffee Cleaning tabz Z95,$15.99,,1,$15.99,0,0,NO,
18000254,LB 300 USA Classy Mini,$99.00,#ERROR!,1,$99.00,10.58,23.276,YES,$198.00
18400196,Clearly Cold Cleaner,$30.95,,2,$15.48,,0,NO,
20003018,Napkins,$8.75,#ERROR!,3000,$0.00,3.97,8.734,NO,
30020003295,12 Oz and up Java Jacket,$91.87,#ERROR!,1300,$0.07,18.76,41.272,NO,
30020003305,4 Oz Hot Cup,$54.13,#ERROR!,1000,$0.05,8.16,17.952,NO,
30020003308,8 Oz sip Lid,$38.74,#ERROR!,1000,$0.04,7.72,16.984,NO,
30020003309,4 Oz Flat Lid,$34.30,#ERROR!,1000,$0.03,3.37,7.414,NO,
30020003312,12/16/20 Oz Sip Lids,$45.45,#ERROR!,1000,$0.05,8.82,19.404,NO,
30020003330,Filter Gourmet,$18.99,,500,$0.04,,0,NO,
30020003406,Lav Plast Stirrers,$368.76,#ERROR!,2500,$0.15,,0,NO,
30020003600,MFR Item Lid Dome Sip,$83.67,#ERROR!,1000,$0.08,10.05,22.11,NO,
30020003601,12 Oz Plastic Cold Brew,$160.87,#ERROR!,1000,$0.16,31,68.2,NO,
30020003602,16 Oz Plastic Cold Brew ,$163.69,#ERROR!,1000,$0.16,38,83.6,NO,
30020003603,20 Oz Plastic Cold Brew,$207.08,#ERROR!,1000,$0.21,45,99,NO,
30020003618,8 Oz DW HC,$94.49,#ERROR!,728,$0.13,23.1,50.82,NO,
30020003619,12 Oz DW HC,$86.29,#ERROR!,600,$0.14,25.5,56.1,NO,
30020003620,16 Oz DW HC,$64.96,#ERROR!,384,$0.17,19.8,43.56,NO,
30020003621,20 Oz DW HC,$62.45,#ERROR!,312,$0.20,19.6,43.12,NO,
30020016023,Sleeves 8 Oz,$91.90,#ERROR!,1300,$0.07,14.33,31.526,NO,
